NCTID,1 DRUG B Biomarker D Device 0 Other
NCT00010803,1
NCT00040443,1
NCT00071721,1
NCT00086138,1
NCT00090402,1
NCT00120874,1
NCT00161473,1
NCT00205179,1
NCT00235716,1
NCT00255086,1
NCT00265148,1
NCT00291161,0
NCT00299988,1
NCT00322153,1
NCT00348140,1
NCT00348309,1
NCT00359944,1
NCT00368459,1
NCT00381238,1
NCT00381381,1
NCT00385684,1
NCT00397891,1
NCT00416078,0
NCT00417482,1
NCT00420420,1
NCT00423085,1
NCT00428090,1
NCT00428389,1
NCT00440050,1
NCT00459355,0
NCT00462917,0
NCT00464334,1
NCT00469456,1
NCT00470418,1
NCT00476008,1
NCT00477659,1
NCT00478205,1
NCT00479557,1
NCT00486044,1
NCT00490568,1
NCT00495820,1
NCT00498602,1
NCT00506415,1
NCT00539305,1
NCT00548145,1
NCT00549601,1
NCT00550420,1
NCT00551161,1
NCT00561392,1
NCT00566501,1
NCT00568776,1
NCT00571064,1
NCT00581867,1
NCT00593372,0
NCT00594568,1
NCT00595582,1
NCT00620191,1
NCT00622713,1
NCT00626210,1
NCT00649220,1
NCT00663026,1
NCT00667810,1
NCT00676143,1
NCT00679627,1
NCT00702143,B
NCT00702780,1
NCT00708552,1
NCT00710684,1
NCT00714571,0
NCT00736996,1
NCT00742417,1
NCT00744978,1
NCT00750282,B
NCT00752232,1
NCT00759863,D
NCT00762411,1
NCT00766363,1
NCT00777608,1
NCT00812565,1
NCT00814346,1
NCT00814502,1
NCT00814697,D
NCT00814801,1
NCT00818662,1
NCT00838110,1
NCT00843115,1
NCT00843518,1
NCT00855868,B
NCT00857233,1
NCT00857415,B
NCT00857506,B
NCT00857649,1
NCT00862940,1
NCT00874939,1
NCT00880555,0
NCT00889603,0
NCT00895895,1
NCT00898807,1
NCT00903695,1
NCT00911807,1
NCT00912288,1
NCT00916617,1
NCT00930059,1
NCT00933608,1
NCT00934050,1
NCT00934375,1
NCT00939783,1
NCT00939822,1
NCT00940589,1
NCT00948766,1
NCT00954538,B
NCT00955409,1
NCT00959192,1
NCT00960531,1
NCT00975481,1
NCT00980785,1
NCT00988598,1
NCT00996918,1
NCT00997425,0
NCT00998764,1
NCT01020838,B
NCT01028053,B
NCT01028911,1
NCT01035138,1
NCT01044758,1
NCT01054976,1
NCT01058941,1
NCT01066546,1
NCT01075763,1
NCT01078168,1
NCT01082965,1
NCT01089582,0
NCT01117181,1
NCT01117948,1
NCT01126099,1
NCT01127633,1
NCT01128361,0
NCT01129115,0
NCT01133405,1
NCT01138111,B
NCT01142336,1
NCT01172145,1
NCT01181921,1
NCT01193608,1
NCT01202994,B
NCT01224106,1
NCT01227252,1
NCT01227564,1
NCT01238991,1
NCT01255163,1
NCT01264614,0
NCT01276353,1
NCT01299766,0
NCT01300728,1
NCT01303744,1
NCT01324518,1
NCT01354444,1
NCT01354691,1
NCT01362686,1
NCT01369225,1
NCT01374438,1
NCT01378195,0
NCT01383161,1
NCT01385033,B
NCT01388478,1
NCT01399125,1
NCT01409564,1
NCT01409915,1
NCT01428453,1
NCT01429623,1
NCT01434667,0
NCT01436045,1
NCT01438060,1
NCT01439555,1
NCT01447719,B
NCT01451749,1
NCT01453569,1
NCT01459016,B
NCT01463384,1
NCT01481558,D
NCT01482351,D
NCT01504854,1
NCT01504958,D
NCT01513967,1
NCT01518374,B
NCT01519271,1
NCT01522404,1
NCT01524887,1
NCT01548287,1
NCT01550549,B
NCT01554683,1
NCT01561053,1
NCT01561430,1
NCT01564706,B
NCT01565291,B
NCT01565330,B
NCT01565343,B
NCT01565356,B
NCT01565369,B
NCT01565382,B
NCT01571427,0
NCT01584440,1
NCT01585272,1
NCT01595646,1
NCT01602198,1
NCT01607476,B
NCT01608061,D
NCT01609348,1
NCT01614886,1
NCT01617577,1
NCT01620567,0
NCT01626391,1
NCT01658228,1
NCT01660815,B
NCT01662882,B
NCT01672827,B
NCT01699503,0
NCT01703117,1
NCT01703702,B
NCT01712074,1
NCT01723826,1
NCT01729598,1
NCT01734395,1
NCT01735630,1
NCT01736579,1
NCT01739348,1
NCT01766336,1
NCT01767909,1
NCT01782742,1
NCT01807026,1
NCT01822535,1
NCT01834716,0
NCT01845636,1
NCT01852110,1
NCT01862640,1
NCT01876823,1
NCT01890343,B
NCT01894620,D
NCT01900665,1
NCT01902004,1
NCT01922258,1
NCT01931566,1
NCT01946243,B
NCT01948791,1
NCT01951118,1
NCT01953601,1
NCT01955161,1
NCT01958437,D
NCT01965756,1
NCT01972204,0
NCT01983930,0
NCT01984164,1
NCT01992380,B
NCT01993836,B
NCT02000583,0
NCT02006641,1
NCT02006654,1
NCT02007291,0
NCT02016560,B
NCT02033850,0
NCT02035553,1
NCT02036645,1
NCT02051335,1
NCT02051764,B
NCT02051790,B
NCT02064920,1
NCT02079246,1
NCT02079909,1
NCT02080364,1
NCT02097056,1
NCT02107599,B
NCT02120664,B
NCT02129348,1
NCT02167256,1
NCT02174562,0
NCT02185053,1
NCT02210286,1
NCT02213458,0
NCT02221947,1
NCT02222181,0
NCT02240693,1
NCT02245568,1
NCT02245737,1
NCT02256072,D
NCT02278354,B
NCT02278367,B
NCT02284906,1
NCT02301546,D
NCT02309723,B
NCT02322021,1
NCT02323217,B
NCT02323334,1
NCT02335125,0
NCT02336360,B
NCT02337907,1
NCT02350127,0
NCT02359552,1
NCT02380703,0
NCT02384993,0
NCT02406027,1
NCT02423122,1
NCT02423200,1
NCT02431468,1
NCT02462291,0
NCT02477800,1
NCT02484547,1
NCT02488824,0
NCT02489110,D
NCT02503501,1
NCT02516046,B
NCT02544074,0
NCT02549196,1
NCT02551809,1
NCT02553928,1
NCT02560753,1
NCT02562989,B
NCT02565511,1
NCT02576639,1
NCT02585232,0
NCT02585934,1
NCT02586909,1
NCT02593318,1
NCT02596906,D
NCT02612688,D
NCT02614131,1
NCT02621424,D
NCT02621606,B
NCT02655354,0
NCT02670083,1
NCT02681172,B
NCT02694445,0
NCT02703636,1
NCT02708485,0
NCT02719938,0
NCT02727699,1
NCT02750306,1
NCT02760602,1
NCT02767388,0
NCT02767609,B
NCT02769000,1
NCT02769065,1
NCT02783573,1
NCT02788513,1
NCT02791191,1
NCT02795780,B
NCT02813070,B
NCT02817906,1
NCT02843529,B
NCT02846415,0
NCT02864069,0
NCT02878486,D
NCT02884492,B
NCT02886494,1
NCT02910102,1
NCT02910739,1
NCT02916056,1
NCT02956486,1
NCT02972658,1
NCT02992132,1
NCT03033875,D
NCT03044249,1
NCT03049501,0
NCT03073876,1
NCT03100617,0
NCT03112902,D
NCT03114657,1
NCT03117738,1
NCT03118947,1
NCT03131453,1
NCT03134963,B
NCT03160027,D
NCT03289143,B
NCT03290326,D
NCT03319173,0
NCT03319810,1
NCT03322462,B
NCT03367403,1
NCT03387267,D
NCT03402659,1
NCT03412604,D
NCT03422250,D
NCT03467477,B
NCT03475316,0
NCT03491150,1
NCT03520998,1
NCT03521089,D
NCT03531710,1
NCT03542474,0
NCT03543878,D
NCT03560245,1
NCT03638323,0
NCT03639987,1
NCT03666624,0
NCT03711396,0
NCT03748706,1
NCT03765762,1
NCT03814382,D
NCT03815292,1
NCT03856359,1
NCT03901092,B
NCT03901105,B
NCT03980730,1
NCT04023994,1
NCT04079803,1
NCT04176406,D
NCT04394845,B
NCT04468347,B
NCT04474405,B
NCT04533204,0
NCT04563767,1
