Source,Race Category,Ethnicity Category
africa americans,Black or African American,Unspecified 
african,Black or African American,Unspecified 
african american,Black or African American,Unspecified 
african american/african heritage,Black or African American,Unspecified 
african american/black,Black or African American,Unspecified 
african-american,Black or African American,Unspecified 
american hispanic,American Indian or Alaska Native,"Hispanic, Latino, or Spanish origin"
american indian,American Indian or Alaska Native,Unspecified 
american indian or alaska native,American Indian or Alaska Native,Unspecified 
american indian or alaskan native,American Indian or Alaska Native,Unspecified 
asian,Asian,Unspecified 
asian / pacific islander,native hawaiian or other pacific islander,Unspecified 
asian/ pacific islander,native hawaiian or other pacific islander,Unspecified 
asian/pacific,native hawaiian or other pacific islander,Unspecified 
black,Black or African American,Unspecified 
black / african american,Black or African American,Unspecified 
black nonhispanic,Black or African American,"Not of Hispanic, Latino, or Spanish origin"
black or african american,Black or African American,Unspecified 
black or african- american,Black or African American,Unspecified 
black/african american,Black or African American,Unspecified 
black/non-hispanic,Black or African American,"Not of Hispanic, Latino, or Spanish origin"
caucasian,White,Unspecified 
caucasians,White,Unspecified 
east asian,Asian,Unspecified 
hispanic,unknown or not reported,"Hispanic, Latino, or Spanish origin"
hispanic / latino,unknown or not reported,"Hispanic, Latino, or Spanish origin"
hispanic native american,American Indian or Alaska Native,"Hispanic, Latino, or Spanish origin"
hispanic or latino,unknown or not reported,"Hispanic, Latino, or Spanish origin"
hispanic-american,unknown or not reported,"Hispanic, Latino, or Spanish origin"
hispanic/latino (any race),unknown or not reported,"Hispanic, Latino, or Spanish origin"
hispanic/latino and/or non-caucasian,unknown or not reported,"Hispanic, Latino, or Spanish origin"
latino,unknown or not reported,"Hispanic, Latino, or Spanish origin"
latino/hispanic,unknown or not reported,"Hispanic, Latino, or Spanish origin"
missing,unknown or not reported,Unspecified 
mixed,More than one race,Unspecified 
mixed race,More than one race,Unspecified 
more than one race,More than one race,Unspecified 
multi-racial,More than one race,Unspecified 
multiple,More than one race,Unspecified 
multiple/other,More than one race,Unspecified 
multiracial,More than one race,Unspecified 
native american,American Indian or Alaska Native,Unspecified 
native hawaiian or other pacific islander,native hawaiian or other pacific islander,Unspecified 
native hawaiian/pacific islander,native hawaiian or other pacific islander,Unspecified 
no answer,unknown or not reported,Unspecified 
non-caucasian,unknown or not reported,Unspecified 
non-hispanic,unknown or not reported,"Not of Hispanic, Latino, or Spanish origin"
non-hispanic white,White,"Not of Hispanic, Latino, or Spanish origin"
non-hispanic/latino caucasian,White,"Not of Hispanic, Latino, or Spanish origin"
north american native,American Indian or Alaska Native,Unspecified 
not applicable,unknown or not reported,Unspecified 
not available,unknown or not reported,Unspecified 
not hispanic or latino,unknown or not reported,"Not of Hispanic, Latino, or Spanish origin"
not reported due to confidentiality regulations,unknown or not reported,Unspecified 
not stated,unknown or not reported,Unspecified 
not-hispanic or latino,unknown or not reported,"Not of Hispanic, Latino, or Spanish origin"
other,unknown or not reported,Unspecified 
other caucasiann/ japanese,More than one race,Unspecified 
others,unknown or not reported,Unspecified 
pacific islander,native hawaiian or other pacific islander,Unspecified 
race - african american,Black or African American,Unspecified 
race - caucasian,White,Unspecified 
unknown,unknown or not reported,Unspecified 
unknown or not reported,unknown or not reported,Unspecified 
west asian,Asian,Unspecified 
white,White,Unspecified 
white (not hispanic),White,"Not of Hispanic, Latino, or Spanish origin"
white - white/caucasian/european heritage,White,Unspecified 
white / caucasian,White,Unspecified 
white non-hispanic,White,"Not of Hispanic, Latino, or Spanish origin"
white nonhispanic,White,"Not of Hispanic, Latino, or Spanish origin"
white or caucasian,White,Unspecified 
"white, not of hispanic-american origin",White,"Not of Hispanic, Latino, or Spanish origin"
white/caucasian,White,Unspecified 
white/non-hispanic,White,"Not of Hispanic, Latino, or Spanish origin"
